filename,detected_abbr,hebrew_name,common_name,full_name,matched_alias,snippet
TS1998 HTML on 4 December 2011 Ver1.13_split_000.htm.txt,,,,,,The
TS1998 HTML on 4 December 2011 Ver1.13_split_001.htm.txt,,,,,,Copyright Portions
TS1998 HTML on 4 December 2011 Ver1.13_split_002.htm.txt,,,,,,The Scriptures(c)
TS1998 HTML on 4 December 2011 Ver1.13_split_003.htm.txt,Gen,Bereshith,Genesis,Bereshith (Genesis),genesis,Berĕshith/Genesis Gen
TS1998 HTML on 4 December 2011 Ver1.13_split_004.htm.txt,Gen,Bereshith,Genesis,Bereshith (Genesis),gen,Gen 27:39  And Yitsḥaq his father
TS1998 HTML on 4 December 2011 Ver1.13_split_005.htm.txt,Exod,Shemoth,Exodus,Shemoth (Exodus),shemoth,Shemoth/Exodus Exod
TS1998 HTML on 4 December 2011 Ver1.13_split_006.htm.txt,Exod,Shemoth,Exodus,Shemoth (Exodus),exod,Exod 22:26  “If you take your neighbour’s
TS1998 HTML on 4 December 2011 Ver1.13_split_007.htm.txt,Lev,Wayiqra,Leviticus,Wayiqra (Leviticus),leviticus,Wayyiqra/Leviticus Lev
TS1998 HTML on 4 December 2011 Ver1.13_split_008.htm.txt,Num,Bemiḏbar,Numbers,Bemiḏbar (Numbers),bemiḏbar,Bemiḏbar/Numbers Num
TS1998 HTML on 4 December 2011 Ver1.13_split_009.htm.txt,Num,Bemiḏbar,Numbers,Bemiḏbar (Numbers),num,Num 17:5  “And it shall be that the rod of
TS1998 HTML on 4 December 2011 Ver1.13_split_010.htm.txt,Deut,Deḇarim,Deuteronomy,Deḇarim (Deuteronomy),deuteronomy,Deḇarim/Deuteronomy Deut
TS1998 HTML on 4 December 2011 Ver1.13_split_011.htm.txt,Deut,Deḇarim,Deuteronomy,Deḇarim (Deuteronomy),deut,Deut 17:8  “When any matter arises which is
TS1998 HTML on 4 December 2011 Ver1.13_split_012.htm.txt,Josh,Yehoshua,Joshua,Yehoshua (Joshua),yehoshua,Yehoshua/Joshua Josh
TS1998 HTML on 4 December 2011 Ver1.13_split_013.htm.txt,Judg,Shophetim,Judges,Shophetim (Judges),shophetim,Shophetim/Judges Judges
TS1998 HTML on 4 December 2011 Ver1.13_split_014.htm.txt,Ruth,Ruth,Ruth,Ruth (Ruth),ruth,Ruth Ruth
TS1998 HTML on 4 December 2011 Ver1.13_split_015.htm.txt,1Sam,Shemu’ĕl 1,1 Samuel,Shemu’ĕl 1 (1 Samuel),1 samuel,Shemu’ĕl Aleph/1 Samuel 1Sam
TS1998 HTML on 4 December 2011 Ver1.13_split_016.htm.txt,2Sam,Shemu’ĕl 2,2 Samuel,Shemu’ĕl 2 (2 Samuel),2 samuel,Shemu’ĕl Bĕt/2 Samuel 2Sam
TS1998 HTML on 4 December 2011 Ver1.13_split_017.htm.txt,1Kgs,Melaḵim 1,1 Kings,Melaḵim 1 (1 Kings),1 kings,Melaḵim Aleph/1 Kings 1Kings
TS1998 HTML on 4 December 2011 Ver1.13_split_018.htm.txt,2Kgs,Melaḵim 2,2 Kings,Melaḵim 2 (2 Kings),2 kings,Melaḵim Bĕt/2 Kings 2Kings
TS1998 HTML on 4 December 2011 Ver1.13_split_019.htm.txt,1Chr,Diḇrĕ haYamim 1,1 Chronicles,Diḇrĕ haYamim 1 (1 Chronicles),1 chronicles,Diḇre haYamim Aleph/1 Chronicles
TS1998 HTML on 4 December 2011 Ver1.13_split_020.htm.txt,2Chr,Diḇrĕ haYamim 2,2 Chronicles,Diḇrĕ haYamim 2 (2 Chronicles),2 chronicles,Diḇre haYamim Bĕt/2 Chronicles
TS1998 HTML on 4 December 2011 Ver1.13_split_021.htm.txt,Ezra,Ezra,Ezra,Ezra (Ezra),ezra,Ezra Ezra
TS1998 HTML on 4 December 2011 Ver1.13_split_022.htm.txt,Neh,Neḥemyah,Nehemiah,Neḥemyah (Nehemiah),nehemiah,Neḥemyah/Nehemiah Nehem
TS1998 HTML on 4 December 2011 Ver1.13_split_023.htm.txt,Esth,Estĕr,Esther,Estĕr (Esther),esther,Estĕr/Esther Esther
TS1998 HTML on 4 December 2011 Ver1.13_split_024.htm.txt,Job,Iyoḇ,Job,Iyoḇ (Job),iyoḇ,Iyoḇ/Job Job
TS1998 HTML on 4 December 2011 Ver1.13_split_025.htm.txt,Ps,Tehillim,Psalms,Tehillim (Psalms),tehillim,Tehillim/Psalms Psalm
TS1998 HTML on 4 December 2011 Ver1.13_split_026.htm.txt,Ps,Tehillim,Psalms,Tehillim (Psalms),psalm,Psalm 78:57  But they turned back And acted
TS1998 HTML on 4 December 2011 Ver1.13_split_027.htm.txt,Prov,Mishlĕ,Proverbs,Mishlĕ (Proverbs),proverbs,Mishlĕ/Proverbs Prov
TS1998 HTML on 4 December 2011 Ver1.13_split_028.htm.txt,Eccl,Qoheleth,Ecclesiastes,Qoheleth (Ecclesiastes),ecclesiastes,Qoheleth/Ecclesiastes Eccl
TS1998 HTML on 4 December 2011 Ver1.13_split_029.htm.txt,Song,Shir haShirim,Song of Songs,Shir haShirim (Song of Songs),shir hashirim,Shir haShirim/Song of Songs Song
TS1998 HTML on 4 December 2011 Ver1.13_split_030.htm.txt,Isa,Yeshayahu,Isaiah,Yeshayahu (Isaiah),yeshayahu,Yeshayahu/Isaiah Isaiah
TS1998 HTML on 4 December 2011 Ver1.13_split_031.htm.txt,Isa,Yeshayahu,Isaiah,Yeshayahu (Isaiah),isaiah,Isaiah 33:22  for יהוה
TS1998 HTML on 4 December 2011 Ver1.13_split_032.htm.txt,Jer,Yirmeyahu,Jeremiah,Yirmeyahu (Jeremiah),yirmeyahu,Yirmeyahu/Jeremiah Jer
TS1998 HTML on 4 December 2011 Ver1.13_split_033.htm.txt,Jer,Yirmeyahu,Jeremiah,Yirmeyahu (Jeremiah),jer,Jer 28:11  And Ḥananyah spoke in the
